feature,mean_abs_shap
is_cash_intensive_business,1.266940746384153
occupation_or_business_type,1.17969097235578
cash_share_30d,1.0189213460580766
kyc_risk_rating,0.9485742553508705
vol_cash_credit_7d,0.5212405825304507
vol_highrisk_30d,0.4716343055794387
declared_annual_income_cad,0.4081040911289412
highrisk_share_30d,0.405669717803068
vol_cash_credit_30d,0.38248725610217765
wire_share_30d,0.32964064576665775
vol_credit_7d,0.3177958852849964
offhours_share_30d,0.2881883896785752
newest_account_age,0.2814098159369399
txn_per_active_day,0.22538158833643238
tenure_months,0.20801348425483351
band_share_30d,0.1998672729889722
vol_wire_90d,0.17175043817434107
vol_cash_credit_90d,0.1409238649549205
cash_share_90d,0.13963865949243195
round_share_30d,0.1388157148070103
trigger_amount,0.13666755532985353
vol_wire_30d,0.13579984998100963
n_rules_same_day,0.13205882128693494
n_highrisk_90d,0.1273166420800739
active_days_90d,0.12471860173602259
vol_total_90d,0.12169879760431303
retention_90d,0.12125351176508328
vol_per_counterparty_30d,0.1143169430047871
n_offhours_90d,0.11177797514002047
n_highrisk_7d,0.11152117134246348
n_offhours_7d,0.10815870843569919
vol_to_declared_30d,0.10539515747276036
n_band_cash_90d,0.10458157353865907
txn_velocity_ratio,0.09888408318318287
velocity_ratio,0.09557269067257784
n_cash_credit_30d,0.0953816188016866
vol_credit_90d,0.09471257254375687
vol_debit_30d,0.09076625067977805
retention_30d,0.08947825293240545
vol_highrisk_90d,0.0843861128147105
onboarding_channel,0.08292547088636117
vol_to_declared_90d,0.08162635860833597
prior_alerts,0.06846237307059486
n_txn_90d,0.06642278293837718
n_round_90d,0.0663251278058723
n_cash_credit_7d,0.0651144563359869
vol_debit_7d,0.06428378010235009
vol_highrisk_7d,0.06305710305745138
max_amt_7d,0.060836780858885754
n_round_7d,0.06032492816801265
n_accounts,0.05432559551247563
vol_debit_90d,0.05387693436051237
n_counterparties_90d,0.04927784561644042
vol_total_30d,0.04891370801165207
n_offhours_30d,0.04828985805690931
n_cash_credit_90d,0.045674245181090235
n_wire_90d,0.043672538764497254
n_txn_7d,0.04063133059448133
max_amt_90d,0.03869502570602732
vol_credit_30d,0.03778321279932587
n_txn_30d,0.03656785730478677
vol_wire_7d,0.03493406640681799
vol_total_7d,0.030654526412790997
n_counterparties_30d,0.02929018472714805
n_counterparties_7d,0.027832986625794736
max_amt_30d,0.027080978941108537
trigger_txn_count,0.026828430871183643
is_pep,0.02456825683884298
n_round_30d,0.02164614526895606
n_band_cash_30d,0.018974029575675545
days_since_prior_alert,0.016529212296599455
n_band_cash_7d,0.012034057744357748
home_province,0.010054111032982222
n_wire_7d,0.009115835019442574
n_highrisk_30d,0.00814907122026034
n_wire_30d,0.007620033935009042
customer_segment,0.003317489263744892
rule_id,0.0
tenure_band,0.0
rule_family,0.0
severity,0.0
